Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Only_Uptrend,0.65,5,-0.05601638950557286,-0.017537979883155086,-0.2398726182362751,-0.15192880273588555,-0.11932675744453936,0.34782608695652173,0.7591998259504756,23,0.1725,-0.3124085033541204,0.25639211384854754
Only_Uptrend,0.65,10,-0.014286649647372807,-0.004406927214417045,-0.014465230034235934,-0.011257893243953123,-0.12619050071754645,0.5294117647058824,0.9622665657147671,17,0.23375,-0.3124085033541204,0.2981218537067476
Only_Uptrend,0.65,15,0.006409430846218811,0.001962910663064976,0.06843753063333492,0.05467652119551496,-0.16607009685156704,0.5833333333333334,1.1140459015135677,12,0.24,-0.3124085033541204,0.3188179342003392
Only_Uptrend,0.65,20,0.1613371528690699,0.046978678097360005,0.5333772274176993,0.5041113350196396,-0.09543632496007892,0.6363636363636364,2.30797575686191,11,0.28875,-0.3124085033541204,0.4737456562231903
Only_Uptrend,0.7,5,-0.01959545961867315,-0.006055787761841458,-0.07736063529273349,-0.04646775587356507,-0.07710626776360352,0.35,0.9436382594197998,20,0.15,-0.3124085033541204,0.29281304373544725
Only_Uptrend,0.7,10,0.038005971779544456,0.011514855846862515,0.19812069864844942,0.1421272610285359,-0.10449617535696631,0.6428571428571429,1.2790235431297035,14,0.1925,-0.3124085033541204,0.35041447513366486
Only_Uptrend,0.7,15,0.07464578657223075,0.022342364122473146,0.3103117239086747,0.24339776283775616,-0.07977743585427044,0.6,1.5522833292114258,10,0.2,-0.3124085033541204,0.38705428992635116
Only_Uptrend,0.7,20,0.042107140962143186,0.012739837717784308,0.18354153970910736,0.1550057536447139,-0.17509953309167858,0.6,1.2808036372728158,10,0.2625,-0.3124085033541204,0.3545156443162636
Only_Uptrend,0.75,5,0.07194952266212651,0.0215543851185247,0.4828186999760877,0.266470820376062,-0.06170425482791808,0.5833333333333334,1.7545112320798877,12,0.09,-0.3124085033541204,0.3843580260162469
Only_Uptrend,0.75,10,-0.024496056537884114,-0.0075833632652908545,-0.08401317846160561,-0.047159927257082124,-0.1243321734337921,0.7272727272727273,0.9314454059383394,11,0.15125,-0.3124085033541204,0.2879124468162363
Only_Uptrend,0.75,15,0.10973087350947819,0.03247319277130467,0.43152706144514524,0.2858902432821909,-0.1159594502478789,0.6666666666666666,1.7686055950170254,9,0.18,-0.3124085033541204,0.4221393768635986
Only_Uptrend,0.75,20,-0.020221048726025592,-0.006250496387884663,-0.03306793274888265,-0.024206367767877476,-0.11476932702601339,0.5,0.9782548004160113,8,0.21,-0.3124085033541204,0.2921874546280948
Only_Uptrend,0.8,5,0.05203743466447697,0.015692148648082327,0.4174145359377184,0.18136042417358744,-0.05363097972397457,0.625,1.6201632282806189,8,0.06,-0.3124085033541204,0.36444593801859737
